"","X","country","description","designation","points","price","province","region_1","region_2","variety","winery"
"231",68305,"US","There's an acidic tartness to this wine that's just perfect to balance the slightly sweet flavors. The figs, citrus, melons and peaches are so ripe, they need that burst of crispness, which cleanses and stimulates the palate for food.","",85,16,"California","Dry Creek Valley","Sonoma","Fumé Blanc","Lake Sonoma"
"232",135314,"US","Seems hollow and watery, especially compared to recent vintages. The '01 scored 90 points. Is this because of the intense heat of the vintage? Whatever, the wine is citrusy and spicy, but you wish it was more intense.","DCV3 Estate",84,25,"California","Dry Creek Valley","Sonoma","Fumé Blanc","Dry Creek Vineyard"
"233",134343,"US","Zesty and bright, this Sauvignon Blanc comes from an inland appellation of Mendocino County. It's packed with citrus, fig, wildflower and dusty Asian spice flavors. Great with Asian fare, bruschetta with grilled vegetables, or with a shrimp and grapefruit salad made with verjus instead of vinegar.","",88,15,"California","Redwood Valley","Mendocino/Lake Counties","Fumé Blanc","Lolonis"
"234",29175,"US","This wine offers aromas of leather, maraschino cherries, rose petal and medicine cabinet. It shows a bit of its age but still has time, with grainy tannins and soy flavors propping it up.","Maddelena",87,26,"Washington","Columbia Valley (WA)","Columbia Valley","Nebbiolo","Cavatappi"
"235",41695,"US","Bright in cherry and cranberry, this classically styled Nebbiolo is light red in color and buoyant in acidity. A sanguine back layer brings the earthier elements of the wine to life. With not much Nebbiolo to try in California, this one is worth a taste to savor the possibilities.","",89,24,"California","Yolo County","Central Valley","Nebbiolo","Rosa d'Oro"
"236",61348,"US","Fresh in primary fruit, jammy blackberry and cherry flavors, with a keen streak of acidity, and an overall sense of balance and complexity. Although this wine has no history of aging, it seems to have everything it needs to develop. Try from 2008–2014.","Giovanna-Jeanette Bien Nacido Vineyards",92,80,"California","Santa Maria Valley","Central Coast","Nebbiolo","Nonno Zito"
"237",134348,"US","Tannins are what help great Italian Nebbiolo age for many years, and this Santa Barbara expression of the variety is loaded with tannins. So much so that they lock down the palate with fierce astringency. So is it an ager? There's a polished depth of cherry and leather flavor, but it may not be enough for the long haul. Call it a work in progress.","Stolpman Vineyard",88,33,"California","Santa Ynez Valley","Central Coast","Nebbiolo","Novy"
"238",110034,"US","A funny wine, maybe going through an awkward stage. It's pale, light-bodied, silky, acidic and bone dry, with cherry, orange zest, root beer, kid leather and vanilla spice flavors. Resembles a decent Barbaresco at a young age. Seems a bit simple now, but could develop bottle complexity over the next five years.","",87,24,"California","Santa Barbara County","Central Coast","Nebbiolo","Mandolina"
"239",110851,"US","Sugary sweet and simple, with pleasant pineapple, peach, pear, floral and vanilla flavors.","",83,24,"California","Sierra Foothills","Sierra Foothills","Roussanne","Domaine de la Terre Rouge"
"240",59502,"US","This is made from Roussanne grown in a single vineyard. It's quite sweet in apricot honey flavor, thanks to botrytis, but doesn't bowl you over with intensity. Call it an easy dessert sipper that's ready now.","Le Vol des Anges",85,30,"California","Arroyo Seco","Central Coast","Roussanne","Bonny Doon"
"241",141226,"US","Opens with scents of honey, pear, cracker and spice, leading into warm, round fruit flavors. The deep gold color and the soft, open palate indicate a bit of oxidation, and the wine goes flat in the midpalate, though for near-term drinking it offers unusual pleasures. Serve this one slightly chilled.","Mariposa Vineyard",86,15,"Washington","Columbia Valley (WA)","Columbia Valley","Roussanne","White Heron"
"242",118131,"US","This is a new dessert wine from Bonny Doon, from the Arroyo Seco region which is such a great source of whites. With 11% residual sugar, it's quite sweet. The apricot, peach, pear and lime flavors have a honeyed, botrytised richness.","Le Vol des Anges Beeswax Vineyard",87,30,"California","Arroyo Seco","Central Coast","Roussanne","Bonny Doon"
"243",101494,"US","Co-fermented with 20% Viognier, this fresh and lively Roussanne is a standout in the lineup of new releases from Whidbey Island. Mix of citrus rind, mineral, wet stone and plenty of lime.","",89,15,"Washington","Yakima Valley","Columbia Valley","Roussanne","Whidbey Island Winery"
"244",99364,"US","Made from one of the classic Port varieties, this dry wine shows the possibilities of growing these grapes in a hot California climate. The wine is soft, rich and complex, with cherry, tangerine, cocoa, herb and spice flavors.","",86,24,"California","Lodi","Central Valley","Touriga Nacional","Barreto"
"245",1106,"US","The alcohol—19% as labeled—shows prominently on the aromas of this 88% Touriga Nacional and 12% Sauzao single-vineyard wine from Lonesome Springs Ranch Vineyard. Sweet chocolate and dark fruit flavors offer plenty of appeal.","Port",87,40,"Washington","Yakima Valley","Columbia Valley","Touriga Nacional","Patterson"
"246",105250,"US","A juicy Touriga with nice structure and acidity, it bursts with notes of strawberry, cherry and vanilla spice, especially on the finish. A perfect pizza wine.","",87,24,"California","Calaveras County","Sierra Foothills","Touriga Nacional","Chatom Vineyards"
"247",98643,"US","A heavy, acidic and boring wine, not offering much in the way of flavor except for some bitter cherries.","Silvaspoons Vineyards",80,23,"California","Lodi","Central Valley","Touriga Nacional","Fenestra"
"248",44505,"US","Bright in acidity, it's light in texture, soft but firmly structured. Earthy and aromatic in cedar and caramel, it offers nuanced plum and strawberry, with a suggestion of your grandfather's tobacco.","Los Tesoros",88,55,"California","Livermore Valley","Central Coast","Touriga Nacional","Murrieta's Well"
"249",117043,"US","Very sweet but a bit thin on fruity flavor despite some chocolate and raspberry. This Port-style wine is a blend of Primitivo, Zinfandel and Syrah.","Solera3",84,60,"California","Napa Valley","Napa","Port","Bourassa Vineyards"
"250",1150,"US","This blend of 32% Alvarelhão, 31% Souzão, 24% Touriga and 13% Tinta Cão shows baked black cherries, licorice, gingerbread, iron and smashed asphalt on the nose. The palate is soft and rich, with jammy cherry, blueberry and blackberry flavors eloquently spiced by clove, framed by silky tannins and cut with a welcome acidity.","Vintage",90,36,"California","Paso Robles","Central Coast","Port","Robert Hall"
"251",36783,"US","Rich and sweet, with blackberry, chocolate, plum pudding and spice flavors, accented with fine acidity. Made from traditional Port varieties plus Petite Sirah, it's a bit watery. The score would soar if the fruity concentration were greater.","",87,55,"California","Napa Valley","Napa","Port","Prager"
"252",76417,"US","Opulento is made entirely- with authentic Portuguese varieties, based on 60% Touriga Nacional. It's truly Port-like in flavor, showing deep notes of black cherry and cassis fruit. Smooth and supple, this is thoroughly delicious and should not be missed.","Opulento Dessert Wine Touriga-Souzao-Tinto Cão",94,20,"Washington","Yakima Valley","Columbia Valley","Port","Brian Carter Cellars"
"253",114102,"US","Made from traditional Port varieties, Woodbridge's Portacinco is always a rich, sweet dessert wine, satisfying in fruit and body. You'll find dark chocolate, white chocolate, cassis and cherry flavors, with good balancing acidity.","Portacinco",88,20,"California","Lodi","Central Valley","Port","Woodbridge"
"254",4865,"US","Bold, penetrating tannins and bright cranberry acidity lend a tight frame to this classically styled Blaufränkisch, a.k.a. Lemberger. Crisp-tart blackberry and blueberry flavors are accented by bramble and herb notes that linger long on the finish. Its quite closed now, but should show well after 2018.","Moffett Block",88,32,"New York","Finger Lakes","Finger Lakes","Blaufränkisch","Atwater"
"255",73099,"US","Initial whiffs of smoke and green leaves blow off to reveal intense flower and white-pepper notes. Densely concentrated with blackberry and boysenberry flavors, this Long Island Blaufränkisch (with 25% Dornfelder) is taut and crisp with acidity and crushed-stone minerality. A fresh herb note and a hint of bay leaf lend a savory tone to the finish. Delicious.","Mudd West Vineyard",90,27,"New York","North Fork of Long Island","Long Island","Blaufränkisch","Channing Daughters"
"256",39977,"US","This opens with lots of spice, tart and light red fruits and some strongly herbal tannins. There is a big wash of sweet baking spice, source unknown, that offsets the stemmy and herbal quality of the fruit.","Blue Franc",85,13,"Washington","Washington","Washington Other","Blaufränkisch","Shooting Star"
"257",4643,"US","Bold, penetrating tannins and bright cranberry acidity lend a tight frame to this classically styled Blaufränkisch, a.k.a. Lemberger. Crisp-tart blackberry and blueberry flavors are accented by bramble and herb notes that linger long on the finish. Its quite closed now, but should show well after 2018.","Moffett Block",88,32,"New York","Finger Lakes","Finger Lakes","Blaufränkisch","Atwater"
"258",7206,"US","Complexities of cedar, vanilla and dark toast integrate elegantly into this rich intensely blackberried wine. It's still vibrantly fruity, yet showing developing nuances of earth and mineral as well. Briskly composed and fringed in supple tannins, it finishes on lingering tones of bramble and spice.","Doyle Family Vineyards Reserve",90,25,"New York","Finger Lakes","Finger Lakes","Blaufränkisch","Timothy Moore"
"259",19206,"US","Made from equal parts Cabernet Sauvignon and Merlot, this wine is flamboyantly rich and opulent in fruit. The cherry pie and blackberry tart flavors finish sweet, with a bracing scour of tannins and acidity. Should hold in the bottle for some years in a good cellar.","Mernet",90,96,"California","Napa","","Merlot-Cabernet Sauvignon","Keenan"
"260",37778,"US","A blend of two-thirds Merlot and one-third Cabernet Sauvignon, sourced both from the Livermore and Napa valleys, PIcazo's 2008 vintage is full bodied in cran-raspberry, leather and herb flavors, piqued with acidity, structure and length.","Proprietary Red",89,45,"California","California","California Other","Merlot-Cabernet Sauvignon","Picazo"
"261",125033,"US","Sweet and enticing, this is an easy-to-like wine made without obvious oak. Flavors run to plum and plum jam and though there are some stewed notes in the mouth, the overall fruit expression is quite honest. Try with roast pork. Drink now through 2011.","Nautique Esprit de Rouge",85,14,"New York","North Fork of Long Island","Long Island","Merlot-Cabernet Sauvignon","Peconic Bay Winery"
"262",64076,"US","Trey Marie is another project of the tireless Eric Dunham of Dunham Cellars, a rising star in the Walla Walla Valley. This blended red is 75% Merlot and 25% Cabernet Sauvignon, and most of the fruit comes from the Pepper Bridge vineyard in Walla Walla. It has a fine nose with cassis and dark berry fruit, firm tannins and a Bordeaux-like mouthfeel. Despite the predominance of Merlot, it is a firm wine with nuances of lead pencil, tobacco and cedar.","Trutina",89,30,"Washington","Columbia Valley (WA)","Columbia Valley","Merlot-Cabernet Sauvignon","Trey Marie"
"263",32916,"US","Made from equal parts Cabernet Sauvignon and Merlot, this wine is flamboyantly rich and opulent in fruit. The cherry pie and blackberry tart flavors finish sweet, with a bracing scour of tannins and acidity. Should hold in the bottle for some years in a good cellar.","Mernet",90,96,"California","Napa","","Merlot-Cabernet Sauvignon","Keenan"
"264",80784,"US","A simple wine, extracted and jammy in raspberries, cherries and blackberries. Very high alcohol and black pepper flavors combine to create a hot mouthfeel. The wine is also sweet in glycerine.","Cuvée F",84,34,"California","Santa Barbara County","Central Coast","Sangiovese-Syrah","Scott Cellars"
"265",120452,"US","This is 80% Sangiovese and 20% Syrah; an overlooked treasure from the LeFore vineyard, one of the original plantings in the Rocks. It is now beginning to show more genuine Sangiovese character as it moves into its second decade. Spicy berry with a strong coffee back, and the juicy acidity of the grape providing the structure. It finishes with a bright cinnamon streak. Delicious.","Guido Red",93,40,"Washington","Walla Walla Valley (WA)","Columbia Valley","Sangiovese-Syrah","K Vintners"
"266",1448,"US","Always an eye-opening bottling, this blends 50% Sangiovese with 50% Syrah. This vintage shows cooked blackberries, baked plums, balsamic vinaigrette and black rocks on the nose. The palate is juicy and energetic, blending dark fruit with bright acidity, coffee and caramel flavors, with strong tannins for structure.","La Croce",90,66,"California","Ballard Canyon","Central Coast","Sangiovese-Syrah","Stolpman"
"267",19622,"US","This is 80% Sangiovese and 20% Syrah; an overlooked treasure from the LeFore vineyard, one of the original plantings in the Rocks. It is now beginning to show more genuine Sangiovese character as it moves into its second decade. Spicy berry with a strong coffee back, and the juicy acidity of the grape providing the structure. It finishes with a bright cinnamon streak. Delicious.","Guido Red",93,40,"Washington","Walla Walla Valley (WA)","Columbia Valley","Sangiovese-Syrah","K Vintners"
"268",35875,"US","Anyone intrigued by the array of alternative whites being produced in California right now should know about this wine, an incredibly priced, low-alcohol sipper that's also complex enough to pair with a range of lighter foods. Its aromas of apricot and sweet peach are most inviting, and the wine also has a saltiness layered around its acidity that hits in the midpalate and then finishes dry. A complex, medium-bodied, layered white that tastes of the sea.","",93,14,"California","Lodi","Central Valley","Vermentino","Uvaggio"
"269",93564,"US","Uvaggio is making a serious case for Lodi Vermentino. This bottling is compelling: savory with herb and green olive notes, and yet freshly fruity and delicate, well integrated and plenty acidic to stand up to a wide range of food, even given its modest 11% alcohol level. A stunner that'll keep you thinking, and asking for more.","",93,14,"California","Lodi","Central Valley","Vermentino","Uvaggio"
"270",8962,"US","It's fun to try this wine from an Italian grape variety that is rare in California. It tastes unusually lean and tangy, with earthy aromas. Dry and taut on the palate, it has a mineral or metallic tinge to the rather austere fruit flavors.","Limited Release",86,22,"California","Lodi","Central Valley","Vermentino","Borra"
"271",48413,"US","A good wine for the price, crisp and clean and minerally. The flavors are of tart citrus fruits such as Meyer lemons and limes, white peaches and vanilla. A finish of sugar mars what otherwise should be a completely dry wine.","Las Brisas Vineyard",85,13,"California","Carneros","Napa-Sonoma","Vermentino","Mahoney"
"272",1449,"US","Buy this for its balance and welcome sense of restraint that gives way to richness on the finish. Crisp apple and light citrus aromas, then nicely concentrated and similar flavors, put an attractive spin on this medium-bodied, fresh and appealing wine.","",90,18,"California","California","California Other","Vermentino","Bailiwick"
"273",1526,"US","This is a very limited bottling of 80% Cabernet Franc and 20% Merlot. Roughly half spent time in new French oak, which brings a lovely toasty note into the foreground. There's a slight, not unpleasant funkiness, along with dusty baking spices, black cherry and currant, and a chunk of dark chocolate. It's big, bold and delicious, and drinking quite well at the moment.","Arsenal",92,40,"Oregon","Applegate Valley","Southern Oregon","Cabernet Franc-Merlot","Quady North"
"274",13509,"US","Lush blackberry and iron ore are the star aromas in this wine. Flavors of blackberry, baking spice and roast beef are juicy and compelling. Lean acidity and grippy tannins lead to a long, dry and woody finish.","Topiary",89,29,"Virginia","Middleburg","","Cabernet Franc-Merlot","Boxwood"
"275",43701,"US","The Flying Pig is a blend of 60% Cabernet Franc and 40% Merlot. Bursting with a ripe, succulent cherry flavor, it offers layers of blackberry and spice, with floral highlights of talcum powder and rose. It's has a potpourri tone that dots the long, spicy finish. Perfect for ribs in a sweet barbecue sauce.","Flying Pig",93,80,"Oregon","Walla Walla Valley (OR)","Oregon Other","Cabernet Franc-Merlot","Cayuse"
"276",27357,"US","An alluring combination of smoked meats and roasted peppers—think chile relleno with chorizo—frame the the aromas of this bottling, alongside espresso, mocha and fresh cigar. Once sipped, there's a smooth mouthfeel with cedar and cherry flavors, a touch of oregano and an oaky vanilla sense on the finish. The 19% Merlot evens things out.","",89,36,"California","Temecula Valley","South Coast","Cabernet Franc-Merlot","Leoness"
"277",73178,"US","This is a Bordeaux-style blend based on Cabernet Franc and Merlot, marked by luscious softness and ripe, forward fruit. The flavors of cherries, red currants, anise and sandalwood are delicious and savory. It's perfect for drinking now with a great steak.","Reserve Seventeen Forty",91,56,"California","Paso Robles","Central Coast","Cabernet Franc-Merlot","Daou"
"278",4659,"US","Oak, almond and nutmeg represent the rounder, lusher aspects of the 10% Sémillon in this Sauvignon Blanc-based wine, complemented by creamy pear, peach and melon. The two work together well, providing soft layers of crisp goodness in a glass.","Dissonance",88,32,"California","Napa Valley","Napa","Sauvignon Blanc-Semillon","Blackbird Vineyards"
"279",42711,"US","Extra-ordinarily sweet, with fantastic honey, apricot, pineapple, orange marmalade, buttered toast and vanilla cream flavors. What's not to like? Could be more complex, but dazzles for sheer decadence.","Late Harvest",92,75,"California","Napa County-Sonoma County","Napa-Sonoma","Sauvignon Blanc-Semillon","Nobility"
"280",85886,"US","Styled after the great white wines of Bordeaux, this is fresh and clean, with luscious mixed fruit flavors that emphasize apple and melon. A cooler vintage has produced a wine of low alcohol and real finesse, with a light dusting of toasty oak. Given its impeccable balance, it could be cellared for another 6–8 years.","Chaleur Estate Blanc",92,37,"Washington","Columbia Valley (WA)","Columbia Valley","Sauvignon Blanc-Semillon","DeLille"
"281",51182,"US","Mostly Sauvignon Blanc, with 10% Sémillon, this graceful wine opens with some sharp, grassy and grapefruity scents, then softens up a bit, with a textural middle that hints at sage, melon, smoke and herb. Huge improvement over the 2006.","Fumé Blanc",87,10,"Washington","Columbia Valley (WA)","Columbia Valley","Sauvignon Blanc-Semillon","Hogue"
"282",34656,"US","Sourced principally from the excellent Artz vineyard on Red Mountain, this blend of 78% Sauvignon Blanc and 22% Sémillon is ripe and lush, almost to the point of tasting sweet. No residual sugar was listed, but in terms of flavor, it's hard to ignore. If you like that richness, there is a creamy, milk-and-honey flavor, along with toasty notes.","Mistura Blanco",85,20,"Washington","Red Mountain","Columbia Valley","Sauvignon Blanc-Semillon","Michael Florentino"
"283",10449,"US","This wine is a little short and abupt on the finish. It's very similar to a minor Chardonnay, with buttercream, vanilla and tropical and citrus fruits. The acidity is quite brisk, like a squirt of lime.","",86,21,"California","Mt. Harlan","Central Coast","Aligoté","Calera"
"284",51279,"US","Tastes like an inferior Chardonnay, with overoaked flavors of tangerines, pineapples and buttered popcorn.","",84,20,"California","Mt. Harlan","Central Coast","Aligoté","Calera"
"285",37580,"US","This unique wine, made in California by Jed Steele, is sourced from Washington's only planting of Aligoté. Bright and spicy, it's anchored with solid apple/pear fruit flavors and zippy acidity.","",87,13,"Washington","Washington","Washington Other","Aligoté","Shooting Star"
"286",26169,"US","Tastes like an inferior Chardonnay, with overoaked flavors of tangerines, pineapples and buttered popcorn.","",84,20,"California","Mt. Harlan","Central Coast","Aligoté","Calera"
"287",1597,"US","Hailing from 1970s plantings, this wine is directly appealing with aromas of corn silk, candy corn, caramel and spice. The palate is sleek in style with plump peach flavors. Try it with crab.","",87,13,"Washington","Yakima Valley","Columbia Valley","Aligoté","Shooting Star"
"288",42782,"US","This is dry and crisp in acidity, but the vegetable and citrus flavors are clumsy.","",82,18,"California","Paso Robles","Central Coast","Grenache Blanc","Tower 15"
"289",42853,"US","Very light in color, this wine has a brisk nose that shows Key lime peel, lemongrass, grapefruit blossom and a wet-concrete minerality. There is tremendous energy and zest on the palate, which is steely and stony with flavors of red grapefruit and a great textural grip.","",91,21,"California","Santa Barbara County","Central Coast","Grenache Blanc","Margerum"
"290",4469,"US","Coming from one of the region's more picturesque vineyards, this bottling, which is enhanced with 19% Picpoul Blanc, 2% Roussanne and 2% Viognier, leans a tad tropical on the nose, with orange peel cutting into banana, apple custard and tuberose. There's sizzling acidity throughout the palate, with flavors of lemon curd, apple peel and grapefruit pith.","",88,28,"California","Adelaida District","Central Coast","Grenache Blanc","Halter Ranch"
"291",75286,"US","This is a lovely wine, dark golden in color yet fresh on the palate, with piercing flavors of green apple, apricot and flowers, its long finish laced with honey. A wine of noticeable depth and balance that gets better in the glass and would make for an unexpected apéritif.","",92,22,"California","Sierra Foothills","Sierra Foothills","Grenache Blanc","Terre Rouge"
"292",7723,"US","Clean apple, crisp pear and fresh yellow pluot aromas are lifted even more by stony chalkiness on this wine's nicely balanced nose. The palate is ripe with Japanese pear flesh and Anjou pear skins, yet the edges are bursting with tart lime, kumquat and green apple-skin flavors.","",87,27,"California","Santa Clara Valley","Central Coast","Grenache Blanc","Lion Ranch"
"293",9400,"US","A consistently lovely selection, L'Ecole's Old Vines Chenin Blanc captures the grape's floral highlights and its complex fruit flavors of peach, melon and citrus. It lingers gracefully with a rich, slightly oily mouthfeel.","Old Vines",92,16,"Washington","Columbia Valley (WA)","Columbia Valley","Chenin Blanc","L'Ecole No. 41"
"294",1708,"US","Aromatic layers of golden apple and pear, beeswax and toasty brioche lead to an ample, concentrated palate, which comes threaded with glowing acids.","",88,28,"Arizona","Cochise County","","Chenin Blanc","Pillsbury"
"295",33434,"US","Bone dry and hinting at a sweet herb flavor, this wine backs away from the fruitiness found in most domestic Chenin Blanc. It offers complex details of yellow fruit, lemon verbena and beeswax.","Old Vine The Brasher Block",90,22,"Washington","Columbia Valley (WA)","Columbia Valley","Chenin Blanc","Merriman"
"296",140155,"US","One of the more serious attempts at Chenin in the state, but you can only push this varietal so far. This is a bone dry wine, with high acidity, sort of like a Sauvignon Blanc, with fruity citrus flavors and a whistle-clean finish.","Pavanne",85,20,"California","Paso Robles","Central Coast","Chenin Blanc","Adelaida"
"297",50900,"US","Here's a dry, crisp Chenin that shows the variety at its California best. With rich, mouthwatering acidity, it has citrus and floral flavors that have a bit of sourdough bread yeastiness. Versatile at the table, at a good everyday price.","Meyercamp Ranch",87,14,"California","Napa Valley","Napa","Chenin Blanc","Pope Valley Winery"
"298",93686,"US","This variety has long been planted in California as a blending grape, often with Zinfandel. On its own, as it is here, it's soft and candied-tasting, with flavors of raspberry and red cherry, set off by brisk acidity and firm tannins in a light-bodied texture. A little rustic, it needs to be paired with rich fare, such as steaks or lamb chops, to become balanced.","Alegria Vineyards",86,45,"California","Russian River Valley","Sonoma","Alicante Bouschet","Acorn"
"299",133377,"US","Tastes like a rather rustic cross between Cabernet and Syrah, with the full-bodied texture of both. The flavors are of blackberries, cherries, soy sauce, white pepper and balsam, and the tannins are thick and sturdy.","Grand Reserve",85,40,"California","California","California Other","Alicante Bouschet","French Hill"
"300",125827,"US","Alicante Bouschet is an old-fashioned California variety that never can quite overcome its rustic mouthfeel. Wellington's '07 is a dry, tannic wine, with earthy, leathery flavors of cherries and currants.","Noir de Noirs Old Vines",85,25,"California","Sonoma Valley","Sonoma","Alicante Bouschet","Wellington"
"301",117627,"US","Tastes like a rather rustic cross between Cabernet and Syrah, with the full-bodied texture of both. The flavors are of blackberries, cherries, soy sauce, white pepper and balsam, and the tannins are thick and sturdy.","Grand Reserve",85,40,"California","California","California Other","Alicante Bouschet","French Hill"
"302",1760,"US","The fact that this variety is still in the ground in the county says something; the fact that's it's still in the confines of Pagani Ranch says even more. In this ode to generations gone by, the grower and winemaker find common ground in showcasing a big-bodied, black-purple expression of fig, plum and grippy leather that lands softly on the palate.","Pagani Ranch",90,36,"California","Sonoma Valley","Sonoma","Alicante Bouschet","Carlisle"
"303",2095,"US","A whiff of bergamot lends musky floral intensity to this peachy featherweight wine. It's perfumed but not at all cloying, etched finely with a lingering lace of crystalline sugar. Drink now through 2017.","",89,20,"New York","Finger Lakes","Finger Lakes","Muskat Ottonel","Dr. Konstantin Frank"
"304",92123,"US","There is a horsey, leathery scent as you first experience this wine. It penetrates into the mouth, a stand-off against the sweet/tart boysenberry fruit. Suspect it will be a love it/hate it type of wine, depending upon your appreciation of leather.","",85,26,"Oregon","Umpqua Valley","Southern Oregon","Baco Noir","Melrose"
"305",39983,"US","There is a horsey, leathery scent as you first experience this wine. It penetrates into the mouth, a stand-off against the sweet/tart boysenberry fruit. Suspect it will be a love it/hate it type of wine, depending upon your appreciation of leather.","",85,26,"Oregon","Umpqua Valley","Southern Oregon","Baco Noir","Melrose"
"306",46818,"US","Scents of black coffee and ripe black fruit meld with notes of damp, forest soil on this earthy Hudson River Baco Noir. Pleasant, but a whiff of rubber that trails from start to finish detracts.","",83,28,"New York","Hudson River Region","New York Other","Baco Noir","Benmarl"
"307",43825,"US","Delightful rose and violet perfume mingles with ripe plums and cherries on this lavish Hudson Valley Baco Noir. On the palate, penetrating fruit is balanced with brisk acidity and a lean, elegant profile. Finishes with just a hint of green leaves.","Old Vines Masson Place Vineyard Pulteney Farm",86,22,"New York","New York","New York Other","Baco Noir","Hudson-Chatham"
"308",50270,"US","This rarely seen variety (a hybrid from a cross of a French grape with an indigenous North American one) brings notes of ash, green olive and an assortment of berries. It's medium bodied with a low-alcohol feel and cranberry-like tartness.","",84,28,"Oregon","Umpqua Valley","Southern Oregon","Baco Noir","Girardet"
"309",42027,"US","Too dry and tannic to enjoy on its own, this young wine needs rich meats, cheeses and sauces to tease out the blackberry sweetness and break down the astringency. It does show real promise for this somewhat obscure variety.","Red Cedar Vineyard",87,35,"California","Paso Robles","Central Coast","Tannat","Clayhouse"
"310",65375,"US","The variety is best known in the French appellation of Madiran, where the wines are inky, tannic and long-lived. Here, California terroir has produced a soft red, in the manner of Napa Cabs, with similar flavors, except for a wild edge of violets and Provençal herbs. An impressive debut.","Estate Bottled",90,32,"California","Monterey","Central Coast","Tannat","Cambiata"
"311",50511,"US","Add Tannat to the long list of innovative efforts by this pioneering southern Oregon winery. Grapy and fruity, with chewy, substantial tannins for which this grape is known, this is a steak-ready wine, with upfront flavor.","",87,30,"Oregon","Umpqua Valley","Southern Oregon","Tannat","Abacela"
"312",54009,"US","No winery in California has explored this French variety more than Cambiata, and with the '06, they've produced another interesting wine. It has weight and body and tannins, with wild black and red berry, currant, cherry liqueur, Provençal herb, tobacco and roasted meat flavors that finish with sweetness, although the wine is totally dry.","",92,28,"California","Monterey","Central Coast","Tannat","Cambiata"
"313",27783,"US","Tannat is hot right now, but Eric Laumann—whose 30 years of winemaking experience recently landed him the top spot at Castle Rock—has been making it for years now under this personal brand. This one begins with deeply penetrating aromas of mace and black cherry liqueur. The ripe spiciness continues once sipped, with a pleasingly soft mouthfeel. The tannins aren't bombastic at all, and the wine flattens a bit toward the finish","Rocosa Loma",89,30,"California","Monterey","Central Coast","Tannat","Cambiata"
"314",64898,"US","Very spicy, with an intense bouquet of toast, seed and pungent herb. Rich and fruity in the mouth, it's a complex mix of melon, passion fruit, papaya, guava and sweet orange. The fruit salad rolls back into oaky, buttery flavors for a full-throttle finish. Another 15.5% effort from Airfield, but here the fruit can stand up to the barrels.","Lightning",90,20,"Washington","Yakima Valley","Columbia Valley","Chardonnay-Viognier","Airfield Estates"
"315",116925,"US","Here's a clean, dry, elegant wine showing quite a bit of creamy, smoky oak and sophisticated peach, kiwi and apricot flavors. The Chard dominates. Viognier seems to bring acidic lift and a floral note.","",85,20,"California","Sonoma County","Sonoma","Chardonnay-Viognier","Spann Vineyards"
"316",127309,"US","Spann is building a decent track record with their Chardonnay-Viognier blend. The wine is very ripe and attractive in tropical fruit, honeysuckle and vanilla flavors, and while it's a little on the sweet side, the acidity pulls it back from the brink.","",86,20,"California","Sonoma County","Sonoma","Chardonnay-Viognier","Spann Vineyards"
"317",13938,"US","This blend of 60% Chardonnay with 40% Viognier opens with buttery popcorn aromas that lead into lithe, silky apple and apricot flavors. Restrained in its oak use, just hinting at vanilla, it has a tangy finish.","Yin-Yang",88,22,"California","Sonoma County","Sonoma","Chardonnay-Viognier","Spann Vineyards"
"318",61622,"US","This 75-25 blend shows interesting bacon fat aromas and a lot of sweet cinnamon spice. The blend really works, as the Viognier adds lift and precision to the Chardonnay, which softens and smoothes out the Viognier's rough edges.","Aspersa",90,16,"Washington","Columbia Valley (WA)","Columbia Valley","Chardonnay-Viognier","Helix"
"319",2284,"US","Very appealing aromas of warm strawberry-cherry pie, red licorice and red rose promise ripe juiciness in this nearly equal blend of Syrah and Mourvèdre. The palate delivers with cherry cola, and the wine almost seems sweet, yet is bone dry, with nice grippy tannins as well.","Best Barrel Blend",91,42,"California","Paso Robles","Central Coast","Syrah-Mourvèdre","Anglim"
"320",32526,"US","This aromatic wine has notes of raspberry jam, seabreeze, green olive and smoked meat. The flavors are light and lacking in structure and definition.","Estate Grown",83,25,"Idaho","","","Syrah-Mourvèdre","3 Horse Ranch Vineyards"
"321",22884,"US","Livermore Valley-based Fenestra loves to source fun stuff from Lodi, and Graciano has proven to like Lodi very much. In Fenestra's hands this varietal is soft and round, perfectly fine drinking, a taste of Bing cherry in liquid form.","",87,25,"California","Lodi","Central Valley","Graciano","Fenestra"
"322",143170,"US","Complex aromas of green olives, grilled meat, cherries, cheese and lightly smoked oak  turn light-bodied in the mouth, with pretty cherry and mocha flavors","",86,22,"California","Calaveras County","Sierra Foothills","Graciano","Stevenot"
"323",75491,"US","Thick in dark, meaty fruit flavor, this 100% Graciano is strong in savory elements, tasting of baked plum and tobacco, with a smoky, spicy undercurrent. The tannins have softened it into a rich, smooth wine that's ready to drink now, aromatically recalling ripe figs. Pair with meat-and-cheese tapas or a brothy stew.","",90,21,"California","Lodi","Central Valley","Graciano","Bokisch"
"324",94620,"US","This wine, from Lodi, is too ripe. Although it's dry, it has the taste of shriveled raisins, with a raisinskin bitterness. There's some oak in there that seems oddly uncomfortable, adding a caramelized finish.","Terra Alta Vineyard",81,21,"California","Clements Hills","Central Valley","Graciano","Bokisch"
